Helység;jogállása;Megye ;megye székhely;Terület  (hektár);Lakó-népesség;Lakások száma
Gérce;község;Vas;Sárvár;1830;1124;500
Gerde;község;Baranya;Szentlőrinc;1276;521;195
Gerendás;község;Békés;Békéscsaba;4078;1289;682
Gerényes;község;Baranya;Sásd;1234;256;98
Geresdlak;község;Baranya;Pécsvárad;2528;765;402
Gerjen;község;Tolna;Paks;3623;1200;516
Gersekarát;község;Vas;Vasvár;1992;639;335
Geszt;község;Békés;Sarkad;5139;821;340
Gesztely;község;Borsod-Abaúj-Zemplén;Miskolc;2882;2790;949
Geszteréd;község;Szabolcs-Szatmár-Bereg;Nagykálló;3352;1718;745
Gétye;község;Zala;Keszthely;666;112;94
Gibárt;község;Borsod-Abaúj-Zemplén;Gönc;533;318;156
Gic;község;Veszprém;Pápa;1968;353;145
Gige;község;Somogy;Kaposvár;1319;367;132
Gilvánfa;község;Baranya;Sellye;1543;403;107
Girincs;község;Borsod-Abaúj-Zemplén;Tiszaújváros;1120;886;288
Gógánfa;község;Veszprém;Sümeg;1317;815;315
Golop;község;Borsod-Abaúj-Zemplén;Szerencs;943;544;288
Gomba;község;Pest;Monor;3975;2921;1066
Gombosszeg;község;Zala;Zalaegerszeg;216;37;34
Gór;község;Vas;Sárvár;1099;295;182
Gordisa;község;Baranya;Siklós;1088;274;96
Gosztola;község;Zala;Lenti;698;61;43
Göd;város;Pest;Dunakeszi;2223;18194;7032
Gödöllő;város;Pest;Gödöllő;6191;32720;12719
Gödre;község;Baranya;Sásd;3993;859;396
Gölle;község;Somogy;Kaposvár;4469;915;431
Gömörszőlős;község;Borsod-Abaúj-Zemplén;Putnok;877;89;46
Gönc;város;Borsod-Abaúj-Zemplén;Gönc;3727;2051;902
Göncruszka;község;Borsod-Abaúj-Zemplén;Gönc;1670;643;316
Gönyű;község;Győr-Moson-Sopron;Győr;2172;3049;1148
Görbeháza;község;Hajdú-Bihar;Hajdúnánás;8020;2366;1031
Görcsöny;község;Baranya;Pécs;1852;1539;528
Görcsönydoboka;község;Baranya;Mohács;951;370;180
Görgeteg;község;Somogy;Nagyatád;3350;1093;436
Gősfa;község;Zala;Zalaegerszeg;1045;307;131
Grábóc;község;Tolna;Bonyhád;1373;177;86
Gulács;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;2333;899;366
Gutorfölde;község;Zala;Zalaegerszeg;2485;985;477
Gyál;város;Pest;Gyál;2493;22920;8169
Gyalóka;község;Győr-Moson-Sopron;Sopron;393;68;50
Gyanógeregye;község;Vas;Szombathely;707;146;64
Gyarmat;község;Győr-Moson-Sopron;Tét;2245;1290;563
Gyékényes;község;Somogy;Csurgó;3376;1003;465
Gyenesdiás;nagyközség;Zala;Keszthely;1850;3650;1732
Gyepükaján;község;Veszprém;Sümeg;911;313;158
Gyermely;község;Komárom-Esztergom;Tatabánya;4546;1464;538
Gyód;község;Baranya;Pécs;325;640;253
Gyomaendrőd;város;Békés;Gyomaendrőd;30395;13295;6443
Gyóró;község;Győr-Moson-Sopron;Kapuvár;1164;383;170
Gyömöre;község;Győr-Moson-Sopron;Tét;2050;1206;514
Gyömrő;város;Pest;Monor;2650;16937;6042
Gyöngyfa;község;Baranya;Szentlőrinc;878;134;52
Gyöngyös;város;Heves;Gyöngyös;5531;30190;14822
Gyöngyösfalu;község;Vas;Kőszeg;965;1134;404
Gyöngyöshalász;község;Heves;Gyöngyös;2714;2503;1056
Gyöngyösmellék;község;Baranya;Szigetvár;1003;296;99
Gyöngyösoroszi;község;Heves;Gyöngyös;2139;1545;570
Gyöngyöspata;város;Heves;Gyöngyös;6075;2476;1054
Gyöngyössolymos;község;Heves;Gyöngyös;6485;2833;1267
Gyöngyöstarján;község;Heves;Gyöngyös;4639;2372;980
Gyönk;város;Tolna;Tamási;3812;2048;682
Győr;megyeszékhely, megyei jogú város;Győr-Moson-Sopron;Győr;17456;129372;58537
Győrasszonyfa;község;Győr-Moson-Sopron;Pannonhalma;648;509;201
Györe;község;Tolna;Bonyhád;1131;638;251
Györgytarló;község;Borsod-Abaúj-Zemplén;Sárospatak;3019;540;211
Györköny;község;Tolna;Paks;3160;951;445
Győrladamér;község;Győr-Moson-Sopron;Győr;860;1664;562
Győröcske;község;Szabolcs-Szatmár-Bereg;Záhony;211;135;54
Győrság;község;Győr-Moson-Sopron;Győr;820;1465;588
Győrsövényház;község;Győr-Moson-Sopron;Győr;2420;772;321
Győrszemere;község;Győr-Moson-Sopron;Tét;3310;3279;1170
Győrtelek;község;Szabolcs-Szatmár-Bereg;Mátészalka;1477;1599;476
Győrújbarát;község;Győr-Moson-Sopron;Győr;3361;6401;2253
Győrújfalu;község;Győr-Moson-Sopron;Győr;737;1758;656
Győrvár;község;Vas;Vasvár;1659;585;287
Győrzámoly;község;Győr-Moson-Sopron;Győr;2675;2676;884
Gyugy;község;Somogy;Fonyód;1531;292;139
Gyula;város;Békés;Gyula;25578;30658;14284
Gyulaháza;község;Szabolcs-Szatmár-Bereg;Kisvárda;2210;1938;663
Gyulaj;község;Tolna;Dombóvár;7082;1019;343
Gyulakeszi;község;Veszprém;Tapolca;967;695;256
Gyúró;község;Fejér;Martonvásár;2437;1244;488
Gyügye;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;431;253;135
Gyüre;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;1587;1244;430
Gyűrűs;község;Zala;Zalaegerszeg;419;98;51
Hács;község;Somogy;Fonyód;2126;386;190
Hagyárosbörönd;község;Zala;Zalaegerszeg;1125;301;136
Hahót;község;Zala;Nagykanizsa;3900;1019;492
Hajdúbagos;község;Hajdú-Bihar;Derecske;3744;1989;856
Hajdúböszörmény;város;Hajdú-Bihar;Hajdúböszörmény;37078;31224;12387
Hajdúdorog;város;Hajdú-Bihar;Hajdúböszörmény;10065;8677;3603
Hajdúhadház;város;Hajdú-Bihar;Hajdúhadház;8780;12724;4217
Hajdúnánás;város;Hajdú-Bihar;Hajdúnánás;25962;17172;6936
Hajdúsámson;város;Hajdú-Bihar;Debrecen;6947;12961;4756
Hajdúszoboszló;város;Hajdú-Bihar;Hajdúszoboszló;23870;23882;11429
Hajdúszovát;község;Hajdú-Bihar;Hajdúszoboszló;5800;3045;1109
Hajmás;község;Somogy;Kaposvár;1112;220;75
Hajmáskér;község;Veszprém;Veszprém;3814;2854;1276
Hajós;város;Bács-Kiskun;Kalocsa;8993;3053;1376
Halastó;község;Vas;Körmend;565;80;64
Halászi;község;Győr-Moson-Sopron;Mosonmagyaróvár;3644;3118;1135
Halásztelek;város;Pest;Szigetszentmiklós;866;9506;3636
Halimba;község;Veszprém;Ajka;1262;1117;443
Halmaj;község;Borsod-Abaúj-Zemplén;Szikszó;1259;1799;598
Halmajugra;község;Heves;Gyöngyös;2169;1287;447
Halogy;község;Vas;Körmend;705;255;142
Hangács;község;Borsod-Abaúj-Zemplén;Edelény;2253;581;243
Hangony;község;Borsod-Abaúj-Zemplén;Ózd;3913;1602;589
Hantos;község;Fejér;Sárbogárd;3698;977;372
Harasztifalu;község;Vas;Körmend;789;157;84
Harc;község;Tolna;Szekszárd;1586;879;331
Harka;község;Győr-Moson-Sopron;Sopron;1099;2003;643
Harkakötöny;község;Bács-Kiskun;Kiskunhalas;5269;843;386
Harkány;város;Baranya;Siklós;2569;4219;2060
Háromfa;község;Somogy;Nagyatád;4214;767;325
Háromhuta;község;Borsod-Abaúj-Zemplén;Sárospatak;3779;109;76
Harsány;község;Borsod-Abaúj-Zemplén;Miskolc;3653;2016;822
Hárskút;község;Veszprém;Veszprém;3446;660;243
Harta;nagyközség;Bács-Kiskun;Kalocsa;12972;3328;1602
Hásságy;község;Baranya;Bóly;800;265;140
Hatvan;város;Heves;Hatvan;6630;20366;8969
Hédervár;község;Győr-Moson-Sopron;Mosonmagyaróvár;1431;1237;455
Hedrehely;község;Somogy;Kaposvár;2551;389;178
Hegyesd;község;Veszprém;Tapolca;1105;146;91
Hegyeshalom;nagyközség;Győr-Moson-Sopron;Mosonmagyaróvár;5265;3387;1450
Hegyfalu;község;Vas;Sárvár;1189;794;312
Hegyháthodász;község;Vas;Körmend;808;166;100
Hegyhátmaróc;község;Baranya;Komló;759;134;87
Hegyhátsál;község;Vas;Körmend;458;154;89
Hegyhátszentjakab;község;Vas;Körmend;947;265;167
Hegyhátszentmárton;község;Vas;Körmend;1274;57;54
Hegyhátszentpéter;község;Vas;Vasvár;684;113;89
Hegykő;község;Győr-Moson-Sopron;Sopron;2683;1588;574
Hegymagas;község;Veszprém;Tapolca;789;282;130
Hegymeg;község;Borsod-Abaúj-Zemplén;Edelény;570;114;55
Hegyszentmárton;község;Baranya;Sellye;1877;421;159
Héhalom;község;Nógrád;Pásztó;1868;987;407
Hejce;község;Borsod-Abaúj-Zemplén;Gönc;952;232;180
Hejőbába;község;Borsod-Abaúj-Zemplén;Tiszaújváros;1872;1899;547
Hejőkeresztúr;község;Borsod-Abaúj-Zemplén;Tiszaújváros;1028;1025;411
Hejőkürt;község;Borsod-Abaúj-Zemplén;Tiszaújváros;1490;283;148
Hejőpapi;község;Borsod-Abaúj-Zemplén;Mezőcsát;1702;1152;413
Hejőszalonta;község;Borsod-Abaúj-Zemplén;Tiszaújváros;1097;830;249
Helesfa;község;Baranya;Szentlőrinc;987;483;136
Helvécia;nagyközség;Bács-Kiskun;Kecskemét;5647;4522;1698
Hencida;község;Hajdú-Bihar;Berettyóújfalu;3476;1191;436
Hencse;község;Somogy;Kaposvár;711;337;140
Herceghalom;község;Pest;Budakeszi;734;2333;903
Hercegkút;község;Borsod-Abaúj-Zemplén;Sárospatak;781;655;250
Hercegszántó;község;Bács-Kiskun;Baja;6855;2056;1112
Heréd;község;Heves;Hatvan;1396;1877;788
Héreg;község;Komárom-Esztergom;Tatabánya;2712;995;436
Herencsény;község;Nógrád;Balassagyarmat;3318;586;293
Herend;város;Veszprém;Veszprém;1956;3384;1315
Heresznye;község;Somogy;Barcs;990;245;160
Hermánszeg;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;520;246;135
Hernád;nagyközség;Pest;Dabas;2705;3981;1503
Hernádbűd;község;Borsod-Abaúj-Zemplén;Gönc;591;133;82
Hernádcéce;község;Borsod-Abaúj-Zemplén;Gönc;991;212;121
Hernádkak;község;Borsod-Abaúj-Zemplén;Miskolc;1090;1664;553
Hernádkércs;község;Borsod-Abaúj-Zemplén;Szikszó;741;302;133
Hernádnémeti;nagyközség;Borsod-Abaúj-Zemplén;Miskolc;2876;3421;1215
Hernádpetri;község;Borsod-Abaúj-Zemplén;Encs;1708;232;106
Hernádszentandrás;község;Borsod-Abaúj-Zemplén;Encs;700;425;151
Hernádszurdok;község;Borsod-Abaúj-Zemplén;Gönc;448;159;101
Hernádvécse;község;Borsod-Abaúj-Zemplén;Encs;1694;1089;287
Hernyék;község;Zala;Lenti;1031;90;65
Hét;község;Borsod-Abaúj-Zemplén;Putnok;371;476;205
Hetefejércse;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;1545;295;106
Hetes;község;Somogy;Kaposvár;2663;1182;407
Hetvehely;község;Baranya;Szentlőrinc;2138;500;160
Hetyefő;község;Veszprém;Sümeg;411;70;50
Heves;város;Heves;Heves;9935;10695;4143
Hevesaranyos;község;Heves;Eger;1703;600;269
Hevesvezekény;község;Heves;Heves;1979;632;305
Hévíz;város;Zala;Keszthely;830;4634;3720
Hévízgyörk;község;Pest;Aszód;2284;2994;1144
Hidas;község;Baranya;Pécsvárad;1906;2046;808
Hidasnémeti;község;Borsod-Abaúj-Zemplén;Gönc;1608;1165;446
Hidegkút;község;Veszprém;Veszprém;1358;410;186
Hidegség;község;Győr-Moson-Sopron;Sopron;1680;384;162
Hidvégardó;község;Borsod-Abaúj-Zemplén;Edelény;1699;544;280
Himesháza;község;Baranya;Mohács;1754;1036;448
Himod;község;Győr-Moson-Sopron;Kapuvár;2270;612;381
Hirics;község;Baranya;Sellye;1468;237;79
Hobol;község;Baranya;Szigetvár;1827;992;346
Hodász;nagyközség;Szabolcs-Szatmár-Bereg;Mátészalka;2650;3380;1111
Hódmezővásárhely;megyei jogú város;Csongrád;Hódmezővásárhely;48798;44795;20219
Hollád;község;Somogy;Marcali;820;222;156
Hollóháza;község;Borsod-Abaúj-Zemplén;Sátoraljaújhely;236;820;429
Hollókő;község;Nógrád;Szécsény;518;329;226
Homokbödöge;község;Veszprém;Pápa;1615;703;295
Homokkomárom;község;Zala;Nagykanizsa;1670;161;89
Homokmégy;község;Bács-Kiskun;Kalocsa;7032;1330;713
Homokszentgyörgy;község;Somogy;Barcs;4963;1108;481
Homorúd;község;Baranya;Mohács;4473;599;395
Homrogd;község;Borsod-Abaúj-Zemplén;Szikszó;1343;891;318
Hont;község;Nógrád;Balassagyarmat;2413;468;304
Horpács;község;Nógrád;Rétság;672;166;92
Hort;község;Heves;Hatvan;4309;3634;1592
Hortobágy;község;Hajdú-Bihar;Balmazújváros;28447;1470;625
Horváthertelend;község;Baranya;Szigetvár;536;67;27
Horvátlövő;község;Vas;Szombathely;616;190;75
Horvátzsidány;község;Vas;Kőszeg;1216;808;332
Hosszúhetény;község;Baranya;Pécs;4527;3359;1189
Hosszúpályi;nagyközség;Hajdú-Bihar;Derecske;7914;5662;2061
Hosszúpereszteg;község;Vas;Sárvár;3700;627;396
Hosszúvíz;község;Somogy;Marcali;710;48;32
Hosszúvölgy;község;Zala;Nagykanizsa;360;158;76
Hosztót;község;Veszprém;Sümeg;727;56;50
Hottó;község;Zala;Zalaegerszeg;670;316;135
Hőgyész;nagyközség;Tolna;Tamási;3714;2858;1113
Hövej;község;Győr-Moson-Sopron;Kapuvár;852;288;164
Hugyag;község;Nógrád;Balassagyarmat;1090;840;328
Hunya;község;Békés;Gyomaendrőd;3257;649;395
Hunyadfalva;község;Jász-Nagykun-Szolnok;Szolnok;534;173;101
Husztót;község;Baranya;Pécs;675;57;42
Ibafa;község;Baranya;Szigetvár;2930;233;93
Iborfia;község;Zala;Zalaegerszeg;259;11;17
Ibrány;város;Szabolcs-Szatmár-Bereg;Ibrány;6032;6751;2388
Igal;város;Somogy;Kaposvár;3606;1305;626
Igar;község;Fejér;Sárbogárd;4113;932;502
Igrici;község;Borsod-Abaúj-Zemplén;Mezőcsát;1947;1221;444
Iharos;község;Somogy;Csurgó;2268;444;197
Iharosberény;község;Somogy;Csurgó;4966;1274;482
Ikervár;község;Vas;Sárvár;3534;1780;670
Iklad;község;Pest;Aszód;1121;2004;681
Iklanberény;község;Vas;Kőszeg;296;39;38
Iklódbördőce;község;Zala;Lenti;1230;276;137
Ikrény;község;Győr-Moson-Sopron;Győr;1558;1826;616
Iliny;község;Nógrád;Balassagyarmat;646;166;90
Ilk;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;1455;1230;412
Illocska;község;Baranya;Siklós;1510;247;96
Imola;község;Borsod-Abaúj-Zemplén;Putnok;1811;87;69
Imrehegy;község;Bács-Kiskun;Kiskőrös;7024;719;322
Ináncs;község;Borsod-Abaúj-Zemplén;Encs;1094;1212;416
Inárcs;nagyközség;Pest;Dabas;2252;4397;1600
Inke;község;Somogy;Csurgó;5176;1164;431
Ipacsfa;község;Baranya;Siklós;601;198;83
Ipolydamásd;község;Pest;Szob;1157;359;197
Ipolyszög;község;Nógrád;Balassagyarmat;607;625;220
Ipolytarnóc;község;Nógrád;Salgótarján;1358;455;206
Ipolytölgyes;község;Pest;Szob;1367;427;124
Ipolyvece;község;Nógrád;Balassagyarmat;1383;757;353
Iregszemcse;község;Tolna;Tamási;5834;2656;1055
Irota;község;Borsod-Abaúj-Zemplén;Edelény;1234;80;59
Isaszeg;város;Pest;Gödöllő;5484;11250;3877
Ispánk;község;Vas;Körmend;692;100;62
Istenmezeje;község;Heves;Pétervására;3279;1600;698
Istvándi;község;Somogy;Barcs;3030;607;186
Iszkaszentgyörgy;község;Fejér;Székesfehérvár;2626;1940;740
Iszkáz;község;Veszprém;Devecser;1573;348;188
Isztimér;község;Fejér;Mór;5388;976;373
Ivád;község;Heves;Pétervására;1194;365;198
Iván;község;Győr-Moson-Sopron;Sopron;5471;1263;467
Ivánbattyán;község;Baranya;Siklós;613;123;62
Ivánc;község;Vas;Körmend;1714;684;225
Iváncsa;község;Fejér;Dunaújváros;2516;2758;1031
Ivándárda;község;Baranya;Mohács;767;223;104
Izmény;község;Tolna;Bonyhád;1373;475;199
Izsák;város;Bács-Kiskun;Kiskőrös;11376;5622;2763
Izsófalva;nagyközség;Borsod-Abaúj-Zemplén;Kazincbarcika;941;1746;625
Jágónak;község;Tolna;Dombóvár;1539;259;117
Ják;község;Vas;Szombathely;4495;2598;937
Jakabszállás;község;Bács-Kiskun;Kecskemét;7086;2590;1260
Jákfa;község;Vas;Sárvár;2011;510;239
Jákfalva;község;Borsod-Abaúj-Zemplén;Putnok;906;544;144
Jákó;község;Somogy;Kaposvár;1669;625;245
Jánd;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;1653;778;281
Jánkmajtis;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;2502;1736;648
Jánoshalma;város;Bács-Kiskun;Jánoshalma;13219;8675;4435
Jánosháza;város;Vas;Celldömölk;2341;2489;1076
Jánoshida;község;Jász-Nagykun-Szolnok;Jászapáti;3478;2394;1135
Jánossomorja;város;Győr-Moson-Sopron;Mosonmagyaróvár;14891;6052;2206
Járdánháza;község;Borsod-Abaúj-Zemplén;Ózd;1124;1852;644
Jármi;község;Szabolcs-Szatmár-Bereg;Mátészalka;1237;1301;502
Jásd;község;Veszprém;Várpalota;1028;721;340
Jászágó;község;Jász-Nagykun-Szolnok;Jászberény;3693;723;415
Jászalsószentgyörgy;község;Jász-Nagykun-Szolnok;Jászapáti;4766;3367;1559
Jászapáti;város;Jász-Nagykun-Szolnok;Jászapáti;7814;8585;3656
Jászárokszállás;város;Jász-Nagykun-Szolnok;Jászberény;7717;7810;3777
Jászberény;város;Jász-Nagykun-Szolnok;Jászberény;22136;26372;12228
Jászboldogháza;község;Jász-Nagykun-Szolnok;Jászberény;5529;1675;815
Jászdózsa;község;Jász-Nagykun-Szolnok;Jászapáti;4287;2149;1135
Jászfelsőszentgyörgy;község;Jász-Nagykun-Szolnok;Jászberény;3928;1903;784
Jászfényszaru;város;Jász-Nagykun-Szolnok;Jászberény;7616;5567;2662
Jászivány;község;Jász-Nagykun-Szolnok;Jászapáti;3949;372;217
Jászjákóhalma;község;Jász-Nagykun-Szolnok;Jászberény;4505;2950;1368
Jászkarajenő;község;Pest;Cegléd;6513;2707;1390
Jászkisér;város;Jász-Nagykun-Szolnok;Jászapáti;13009;5448;2221
Jászladány;nagyközség;Jász-Nagykun-Szolnok;Jászapáti;9274;5551;2301
Jászszentandrás;község;Jász-Nagykun-Szolnok;Jászapáti;4433;2440;1538
Jászszentlászló;község;Bács-Kiskun;Kiskunmajsa;6030;2469;1252
Jásztelek;község;Jász-Nagykun-Szolnok;Jászberény;4115;1641;709
Jéke;község;Szabolcs-Szatmár-Bereg;Kisvárda;632;766;270
Jenő;község;Fejér;Székesfehérvár;556;1293;531
Jobaháza;község;Győr-Moson-Sopron;Csorna;806;559;188
Jobbágyi;község;Nógrád;Pásztó;1783;2087;861
Jósvafő;község;Borsod-Abaúj-Zemplén;Putnok;2154;229;175
Juta;község;Somogy;Kaposvár;1923;1146;427
Kaba;város;Hajdú-Bihar;Püspökladány;9501;5878;2389
Kacorlak;község;Zala;Nagykanizsa;760;212;90
Kács;község;Borsod-Abaúj-Zemplén;Mezőkövesd;1669;432;334
Kacsóta;község;Baranya;Szentlőrinc;951;273;101
Kadarkút;város;Somogy;Kaposvár;3973;2435;960
Kajárpéc;község;Győr-Moson-Sopron;Győr;3189;1274;574
Kajászó;község;Fejér;Martonvásár;2398;1035;410
Kajdacs;község;Tolna;Paks;3773;1249;526
Kakasd;község;Tolna;Bonyhád;2080;1656;617
Kákics;község;Baranya;Sellye;1489;210;89
Kakucs;község;Pest;Dabas;2181;2936;1047
Kál;nagyközség;Heves;Füzesabony;3481;3519;1358
Kalaznó;község;Tolna;Tamási;1835;138;102
Káld;község;Vas;Sárvár;4244;1065;480
Kálló;község;Nógrád;Pásztó;3697;1455;531
Kallósd;község;Zala;Zalaszentgrót;541;91;72
Kállósemjén;nagyközség;Szabolcs-Szatmár-Bereg;Nagykálló;5452;3537;1532
Kálmáncsa;község;Somogy;Barcs;4886;631;245
Kálmánháza;község;Szabolcs-Szatmár-Bereg;Nyíregyháza;3724;1840;748
Kálócfa;község;Zala;Lenti;1021;158;91
Kalocsa;város;Bács-Kiskun;Kalocsa;5318;16136;7790
Káloz;község;Fejér;Székesfehérvár;4774;2370;892
Kám;község;Vas;Vasvár;1530;395;199
Kamond;község;Veszprém;Devecser;2050;430;167
Kamut;község;Békés;Békés;6048;1003;520
Kánó;község;Borsod-Abaúj-Zemplén;Putnok;1377;162;90
Kántorjánosi;község;Szabolcs-Szatmár-Bereg;Mátészalka;4163;2173;867
Kány;község;Borsod-Abaúj-Zemplén;Encs;921;47;49
Kánya;község;Somogy;Tab;1452;422;213
Kányavár;község;Zala;Lenti;420;118;82
Kapolcs;község;Veszprém;Tapolca;1396;374;209
Kápolna;község;Heves;Füzesabony;2151;1465;566
Kápolnásnyék;község;Fejér;Gárdony;4150;3590;1561
Kapoly;község;Somogy;Tab;2236;667;333
Kaposfő;község;Somogy;Kaposvár;2726;1637;588
Kaposgyarmat;község;Somogy;Kaposvár;1107;89;36
Kaposhomok;község;Somogy;Kaposvár;1148;481;143
Kaposkeresztúr;község;Somogy;Kaposvár;1980;339;132
Kaposmérő;község;Somogy;Kaposvár;1398;2433;864
Kapospula;község;Tolna;Dombóvár;1980;864;359
Kaposújlak;község;Somogy;Kaposvár;893;737;272
Kaposvár;megyeszékhely, megyei jogú város;Somogy;Kaposvár;11360;63742;29193
Kaposszekcső;község;Tolna;Dombóvár;1562;1512;641
Kaposszerdahely;község;Somogy;Kaposvár;885;953;352
Káptalanfa;község;Veszprém;Sümeg;3370;790;321
Káptalantóti;község;Veszprém;Tapolca;1173;472;199
Kapuvár;város;Győr-Moson-Sopron;Kapuvár;9605;10393;4413
Kára;község;Somogy;Tab;537;45;45
Karácsond;község;Heves;Gyöngyös;3160;2911;1269
Karád;község;Somogy;Fonyód;5238;1561;840
Karakó;község;Vas;Celldömölk;1035;183;106
Karakószörcsök;község;Veszprém;Devecser;711;273;130
Karancsalja;község;Nógrád;Salgótarján;1254;1527;638
Karancsberény;község;Nógrád;Salgótarján;2314;850;388
Karancskeszi;község;Nógrád;Salgótarján;3172;1877;807
Karancslapujtő;község;Nógrád;Salgótarján;1937;2599;1043
Karancsság;község;Nógrád;Salgótarján;2139;1274;420
Kárász;község;Baranya;Komló;802;319;152
Karcag;város;Jász-Nagykun-Szolnok;Karcag;36863;20163;8201
Karcsa;község;Borsod-Abaúj-Zemplén;Cigánd;4370;1820;659
Kardos;község;Békés;Szarvas;4279;632;366
Kardoskút;község;Békés;Orosháza;7658;913;415
Karmacs;község;Zala;Keszthely;1422;788;357
Károlyháza;község;Győr-Moson-Sopron;Mosonmagyaróvár;1124;519;163
Karos;község;Borsod-Abaúj-Zemplén;Cigánd;1532;487;206
Kartal;nagyközség;Pest;Aszód;2911;5616;1911
Kásád;község;Baranya;Siklós;1329;285;133
Kaskantyú;község;Bács-Kiskun;Kiskőrös;5828;1002;525
Kastélyosdombó;község;Somogy;Barcs;1308;268;104
Kaszaper;község;Békés;Mezőkovácsháza;3357;1933;875
Kaszó;község;Somogy;Nagyatád;2248;95;66
Katádfa;község;Baranya;Szigetvár;439;147;60
Katafa;község;Vas;Körmend;481;352;163
Kátoly;község;Baranya;Pécsvárad;875;284;144
Katymár;község;Bács-Kiskun;Bácsalmás;7108;1843;904
Káva;község;Pest;Monor;1130;661;292
Kávás;község;Zala;Zalaegerszeg;664;256;99
Kazár;község;Nógrád;Salgótarján;3039;1839;775
Kazincbarcika;város;Borsod-Abaúj-Zemplén;Kazincbarcika;3664;27487;12863
Kázsmárk;község;Borsod-Abaúj-Zemplén;Szikszó;1248;984;268
Kazsok;község;Somogy;Kaposvár;1071;320;125
Kecel;város;Bács-Kiskun;Kiskőrös;11453;8540;3815
Kecskéd;község;Komárom-Esztergom;Oroszlány;1108;1990;708
Kecskemét;megyeszékhely, megyei jogú város;Bács-Kiskun;Kecskemét;32258;111836;50272
Kehidakustány;község;Zala;Zalaszentgrót;1975;1187;635
Kék;község;Szabolcs-Szatmár-Bereg;Kemecse;2198;1935;659
Kékcse;község;Szabolcs-Szatmár-Bereg;Kisvárda;1821;1524;492
Kéked;község;Borsod-Abaúj-Zemplén;Gönc;1302;178;131
Kékesd;község;Baranya;Pécsvárad;811;159;93
Kékkút;község;Veszprém;Tapolca;368;72;42
Kelebia;község;Bács-Kiskun;Kiskunhalas;6669;2490;1261
Keléd;község;Vas;Celldömölk;872;77;51
Kelemér;község;Borsod-Abaúj-Zemplén;Putnok;1881;507;176
Kéleshalom;község;Bács-Kiskun;Jánoshalma;6163;434;281
Kelevíz;község;Somogy;Marcali;491;311;127
Kemecse;város;Szabolcs-Szatmár-Bereg;Kemecse;3894;4815;1672
Kemence;község;Pest;Szob;4274;972;539
Kemendollár;község;Zala;Zalaegerszeg;1607;510;206
Kemeneshőgyész;község;Veszprém;Pápa;2607;447;240
Kemeneskápolna;község;Vas;Celldömölk;497;88;68
Kemenesmagasi;község;Vas;Celldömölk;3319;804;440
Kemenesmihályfa;község;Vas;Celldömölk;1781;497;233
Kemenespálfa;község;Vas;Celldömölk;1372;373;155
Kemenessömjén;község;Vas;Celldömölk;1605;600;229
Kemenesszentmárton;község;Vas;Celldömölk;429;196;95
Kemenesszentpéter;község;Veszprém;Pápa;2134;621;298
Keménfa;község;Zala;Zalaegerszeg;1489;86;48
Kémes;község;Baranya;Siklós;689;468;188
Kemestaródfa;község;Vas;Körmend;635;205;115
Kemse;község;Baranya;Sellye;896;58;37
Kenderes;város;Jász-Nagykun-Szolnok;Karcag;11124;4508;1944
Kenéz;község;Vas;Sárvár;717;269;111
Kenézlő;község;Borsod-Abaúj-Zemplén;Sárospatak;2296;1169;537
Kengyel;község;Jász-Nagykun-Szolnok;Törökszentmiklós;7913;3552;1403
Kenyeri;község;Vas;Celldömölk;3396;867;450
Kercaszomor;község;Vas;Körmend;1287;198;125
Kercseliget;község;Somogy;Kaposvár;1946;371;164
Kerecsend;község;Heves;Eger;2458;2307;748
Kerecseny;község;Zala;Nagykanizsa;1283;233;147
Kerekegyháza;város;Bács-Kiskun;Kecskemét;8132;6437;2797
Kerekharaszt;község;Heves;Hatvan;1436;958;328
Kereki;község;Somogy;Siófok;1442;535;219
Kerékteleki;község;Komárom-Esztergom;Kisbér;2946;689;282
Kerepes;város;Pest;Gödöllő;2407;9873;3743
Keresztéte;község;Borsod-Abaúj-Zemplén;Encs;397;36;28
Kerkabarabás;község;Zala;Lenti;1029;261;140
Kerkafalva;község;Zala;Lenti;1850;94;80
Kerkakutas;község;Zala;Lenti;2007;112;95
Kerkáskápolna;község;Vas;Körmend;920;78;54
Kerkaszentkirály;község;Zala;Letenye;812;215;115
Kerkateskánd;község;Zala;Lenti;893;162;97
Kérsemjén;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;708;290;120
Kerta;község;Veszprém;Devecser;1546;624;244
Kertészsziget;község;Békés;Szeghalom;3911;374;190
Keszeg;község;Nógrád;Rétság;995;641;308
Kesznyéten;község;Borsod-Abaúj-Zemplén;Tiszaújváros;3640;1800;646
Keszőhidegkút;község;Tolna;Tamási;1031;194;116
Keszthely;város;Zala;Keszthely;7598;20116;10087
Kesztölc;község;Komárom-Esztergom;Esztergom;2199;2526;1018
Keszü;község;Baranya;Pécs;731;1248;433
